Venn diagram numbers,,
Preg cohort flu only,,
TRUE,TRUE,"23,014"
TRUE,FALSE,"23,912"
FALSE,TRUE,"36,151"
FALSE,FALSE,"63,905"
,,
Venn diagram numbers,,
Preg cohort c19 only,,
C19 vaccine,Flu vaccine,n
TRUE,TRUE,22152
TRUE,FALSE,22598
FALSE,TRUE,17077
FALSE,FALSE,49182
