Vaccine,Pooled,England,Wales
Both,"2,094,950 (51.5%)","1,577,500 (53.1%)","517,450 (47.1%)"
COVID-19 only,"1,368,700 (33.6%)","931,040 (31.3%)","437,660 (39.9%)"
Influenza only,"45,840 (1.1%)","36,640 (1.2%)","133,480 (12.2%)"
Neither,"560,270 (13.8%)","426,790 (14.4%)","9,200 (0.8%)"
